Commande	Oeil	Type	Matiere	Diametre	Base	Sphere	Mesure.Sphere	Cylindre	Mesure.cylindre	Axe	Mesure axe	Addition	Mesure addition	Epais. centre	MesureEpais. centre
7638233	G	OXL	BL	80	4	0.25	0.28	0.25	0.22	160	153	2.5	2.63	25	26.4
7640066	D	OXL	BL	80	4	0	0.12	0.25	0.24	145	142	2.5	2.55	23	24.6
7640066	G	OXL	BL	80	4	0	-0.01	0.25	0.2	0	176	2.5	2.56	24	24.4
7639748	D	OXL	BL	80	4	-0.25	-0.27	0.75	0.75	170	168	3	3.09	30	30.9
7639748	G	OXL	BL	80	4	-1.75	-1.74	0.75	0.69	110	110	3	3	22	22.8
7641157	D	OXL	BL	80	4	0	0.05	0.25	0.14	90	90	2.5	2.53	24	25
7641157	G	OXL	BL	80	4	1.5	1.56	1.25	1.21	90	93	2.5	2.5	46	46.5
7639980	D	OXL	BL	80	4	-2.5	-2.57		0.06		172	2.75	2.85	22	22.6
7639980	G	OXL	BL	80	4	-2.75	-2.79	0.25	0.28	90	92	2.75	2.76	22	22.4
7620808	D	OXL	BL	80	4	-0.25	-0.15	0.5	0.41	15	13	3	3.12	26	27.4
7620808	G	OXL	BL	80	4	-1						3		23	0
7636616	D	OXL	BL	80	4	-0.75	-0.65	1.25	1.17	15	13	3.25	3.42	27	28.1
7636616	G	OXL	BL	80	4	-0.75	-0.73	1.25	1.23	175	176	3.25	3.33	27	27.6
7636770	D	OXL	BL	80	4	-3	-2.9	1	0.99	100	100	3	3.12	22	22.9
7636770	G	OXL	BL	80	4	-3.5	-3.46	2	2.05	80	81	3	3.11	22	23.2
7637045	D	OXL	BL	80	4	-0.25	-0.3	0.25	0.22	180	177	1.75	1.72	23	23.4
7637045	G	OXL	BL	80	4	-0.5	-0.44	0.5	0.44	180	178	1.75	1.84	23	24.5
7637913	D	OXL	BL	80	4	-0.25	-0.25	0.5	0.49	146	148	1.25	1.22	23	23.4
7637913	G	OXL	BL	80	4	-0.25	-0.22	0.5	0.51	29	27	1.25	1.31	23	24
7638686	D	OXL	BL	80	4	-1	-1.08		0.05		102	2.5	2.53	22	22.3
7638686	G	OXL	BL	80	4	-1.25	-1.25	0.75	0.64	180	0	2.5	2.51	23	24
7638751	D	OXL	BL	80	4	-3	-3.01	0.5	0.51	140	133	2.5	2.54	22	22.2
7638751	G	OXL	BL	80	4	-2.5	-2.37	0.5	0.49	75	72	2.5	2.59	22	23.4
7639813	G	OXL	BL	80	4	-1	-0.98	1.25	1.25	70	70	3.5	3.51	22	22.9
7636190	D	OXL	BL	80	4	-0.75	-0.7	0.75	0.68	80	78	1.5	1.52	22	22.7
